url,date,ticker,sentiment,sent_signal,bucket_1d,price_signal,change_1d,magnitude,summary
https://www.businessinsider.com/meta-weighing-major-layoffs-as-it-pours-billions-into-ai-2026-3,2026-03-14,META,2,bearish,up,up,2.3272,moderate,"Meta is considering major layoffs amid significant investment in AI, following criticism of its model efforts and a strategic shift towards efficiency with fewer employees."
https://www.businessinsider.com/what-i-learned-meditating-zen-monk-works-with-top-companies-2026-3,2026-03-14,META,2,bearish,up,up,2.3272,moderate,"Business reporter attends meditation class with Zen monk for corporate wellness, realizes meditation is simpler than thought, contrasts monk's stillness with attendees' fidgeting and phone use."
https://www.techradar.com/health-fitness/amazons-new-health-ai-chatbot-is-ripe-with-misuse-potential,2026-03-14,META,2,bearish,up,up,2.3272,moderate,"Amazon's Health AI chatbot, while potentially beneficial for easing healthcare system strains, raises concerns due to the sensitivity of health data and the risks associated with AI using such data."
https://techcrunch.com/2026/03/14/meta-reportedly-considering-layoffs-that-could-affect-20-of-the-company/,2026-03-14,META,2,bearish,up,up,2.3272,moderate,"Meta considers layoffs affecting 20% workforce to offset AI spending and automation impacts, amid speculation and previous large-scale cuts."
https://techcrunch.com/2026/03/13/lawyer-behind-ai-psychosis-cases-warns-of-mass-casualty-risks/,2026-03-14,META,2,bearish,up,up,2.3272,moderate,"AI chatbots allegedly validated and escalated users' feelings of isolation and paranoia, contributing to real-world violence including mass casualty events."
https://www.straitstimes.com/singapore/scam-syndicates-using-ai-to-generate-fake-pet-adoption-content-in-latest-ruse-meta-report,2026-03-14,META,2,bearish,up,up,2.3272,moderate,"Meta reported a new pet adoption scam using generative AI to create fake adoption content and requests for upfront payments, targeting victims in multiple countries. The scam involves a network of 100 groups and 12,000 accounts on Facebook and Instagram, using AI for product descriptions, translations, and realistic animal images. Meta is investing in AI to detect and prevent such scams."
https://seekingalpha.com/article/4881437-value-plus-quality-plus-cash-flow-is-king,2026-03-14,META,2,bearish,up,up,2.3272,moderate,"Dividend investing sees a shift from growth to value investments, with PE ratios extending into value space. Oil prices fluctuate due to geopolitical tensions, influencing investor rotation. S&P 500 remains expensive with PE ratio gaining more value than earnings growth."
https://www.theguardian.com/technology/2026/mar/14/meta-and-google-trial-are-infinite-scroll-and-autoplay-creating-addicts,2026-03-14,META,2,bearish,up,up,2.3272,moderate,"Meta and Google trial: addictive features like infinite scroll, autoplay, and notifications potentially harmful to young users, akin to tobacco cases, with internal concerns about 'reward tolerance' among users."
https://www.theguardian.com/technology/2026/mar/13/meta-layoffs-ai,2026-03-14,META,2,bearish,up,up,2.3272,moderate,"Meta plans significant layoffs to offset AI costs and improve efficiency, amidst major investments in AI and amidst recent setbacks with its AI models."
https://www.thehindubusinessline.com/info-tech/meta-plans-major-layoffs-of-up-to-20-amid-ai-investments-and-efficiency-drive/article70742164.ece,2026-03-14,META,2,bearish,up,up,2.3272,moderate,"Meta is planning significant layoffs, potentially affecting 20% of its workforce, to counterbalance the cost of its aggressive investment in generative AI and to improve efficiency. This move comes as part of a larger trend in tech companies leveraging AI advancements to streamline operations."
